month,revenue,profit,orders,prev_rev,mom_growth
2023-02,11341129.25,2261909.25,678,,
2023-03,12659591.55,2483293.55,729,11341129.25,11.63
2023-04,11367560.65,2298134.65,732,12659591.55,-10.21
2023-05,11229060.85,2163764.85,710,11367560.65,-1.22
2023-06,12025437.4,2385733.4,736,11229060.85,7.09
2023-08,12298993.05,2283477.05,842,12025437.4,2.27
2023-09,13842943.45,2576733.45,885,12298993.05,12.55
2023-10,15123771.0,2792407.0,955,13842943.45,9.25
2023-11,17186919.25,3225535.25,1023,15123771.0,13.64
2023-12,15986238.6,3304216.6,977,17186919.25,-6.99
2024-01,14101336.85,2827396.85,860,15986238.6,-11.79
2024-07,12017128.35,2355282.35,739,14101336.85,-14.78
