product_name,category,orders,revenue,margin_pct
iPhone 15 Pro,Electronics,401,36009445.0,11.22
Samsung Galaxy S24,Electronics,423,33279584.0,14.12
OnePlus 12,Electronics,435,28303814.55,15.38
Dell Laptop i5,Electronics,395,21373000.0,14.71
Nike Air Max,Clothing,467,7707815.5,36.18
HP Laser Printer,Electronics,414,6551590.5,23.94
Godrej Almirah,Furniture,306,5620300.0,34.04
Philips Air Fryer,Home & Kitchen,359,4573146.6,33.97
JBL Flip 6,Electronics,433,4362063.75,28.03
Levi Jeans 511,Clothing,457,3262584.15,50.18
